Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
135,Woodlawn Ave,1,2025,1,1 Higan Cherry,Tree Belt,135 Woodlawn Ave,135 Woodlawn Ave,14,POINT (105635.5 898256.9)
145,Meadow St,7,2025,1,1 Bald Cypress,RoW,145 Meadow St,145 Meadow St,3,POINT (102740.8 898842.2)
146,North Maple St,7,2023,1,1 Exclamation London Plane Tree,Tree Belt,146 North Maple St,146 North Maple St,6,POINT (103400.7 899735.1)
149,North Maple St,7,2023,1,1 Silver Linden,Tree Belt,149 North Maple St,149 North Maple St,6,POINT (103483.8 899755.4)
149,State St,4,2024,1,1 Honeylocust 'Street Keeper',Tree Belt,149 State St,149 State St,1,POINT (106495.1 897613.3)
152,Bridge Rd,7,2023,1,1 Bald Cypress,Tree Belt,152 Bridge Rd,152 Bridge Rd,6,POINT (103216.8 899992.5)
154,North Maple St,7,2024,1,1 Ginkgo 'Princeton Sentry',Tree Belt,154 North Maple St,154 North Maple St,6,POINT (103424.8 899780)
154,North Maple St,7,2025,1,"1 Ginkgo ""Princeton Sentry""",Tree Belt,154 North Maple St,154 North Maple St,6,POINT (103424.6 899768.4)
157,Prospect Ave,1,2025,1,1 Linden 'American Sentry',Setback,157 Prospect Ave,157 Prospect Ave,14,POINT (105379.3 899019.4)
159,Pine St,7,2023,1,1 Silver Linden,Tree Belt,159 Pine St,159 Pine St,11,POINT (103075.4 898576)
163,North Maple St,7,2024,1,"1 Sweetgum ""Moraine""",RoW,163 North Maple St,163 North Maple St,6,POINT (103499 899813.2)
164,West Farms Rd,6,2024,3,3 Tulip Tree 'Emerald City',RoW,164 West Farms Rd,164 West Farms Rd,2,POINT (99759.47 895531.2)
165,Prospect Ave,1,2025,1,1 Blackgum,Setback,165 Prospect Ave,165 Prospect Ave,14,POINT (105390.9 899045.5)
